Country_ID,Country,Life Expectancy (both sexes),Females Life Expectancy,Males Life Expectancy
1,Afghanistan,64.23,67.44,61.2
3,Albania,78.06,80.54,75.83
4,Algeria,77.34,78.67,76.05
7,Angola,63.24,65.77,60.72
10,Antigua And Barbuda,79.42,81.8,76.71
11,Argentina,77.98,81.26,74.62
12,Armenia,76.23,80.36,71.16
13,Aruba,76.9,79.62,73.95
14,Australia,83.73,85.56,81.89
15,Austria,82.57,84.72,80.35
16,Azerbaijan,73.62,76.39,70.67
17,Bahamas,74.49,77.97,70.89
18,Bahrain,80.69,81.92,79.68
19,Bangladesh,73.98,76.31,71.78
20,Barbados,77.86,79.74,75.83
21,Belarus,75.03,79.98,69.81
22,Belgium,82.46,84.5,80.36
23,Belize,74.62,77.89,71.7
24,Benin,60.45,62.16,58.77
26,Bhutan,72.49,74.45,70.8
27,Bolivia (Plurinational State Of),68.78,71.46,66.2
29,Bosnia and Herzegovina,76.18,78.3,74.05
30,Botswana,66.05,68.56,63.45
32,Brazil,76.18,79.26,73.07
35,Brunei Darussalam,74.54,76.78,72.49
36,Bulgaria,72.84,76.37,69.55
37,Burkina Faso,60.57,62.39,58.67
38,Burundi,62.5,64.45,60.54
39,Cabo Verde,76.93,80.9,72.57
40,Cambodia,71.46,73.75,69.09
41,Cameroon,61.92,63.47,60.39
42,Canada,83.02,84.94,81.07
44,Central African Republic,55.48,57.68,53.38
45,Chad,53.68,55.41,52.01
46,Chile,81.16,83.41,78.84
47,China,78.79,81.52,76.18
48,"China, Hong Kong Special Administrative Region",85.83,88.66,83
49,"China, Macao Special Administrative Region",85.51,88.11,82.88
52,Colombia,77.51,80.4,74.61
53,Comoros,65.04,67.35,62.91
54,Congo,63.26,64.86,61.69
56,Costa Rica,80.26,82.66,77.92
57,Côte D’Ivoire,60.11,61.46,58.86
58,Croatia,79.4,82.14,76.61
59,Cuba,78.33,80.73,75.97
60,Curaçao,76.82,80.42,72.88
61,Cyprus,82.05,83.81,80.26
62,Czechia,79.82,82.58,77.02
65,Denmark,82.03,83.92,80.14
66,Djibouti,63.71,66.3,61.23
68,Dominican Republic,74.36,77.72,71.24
64,Democratic Republic Of The Congo,60.63,62.78,58.54
69,Ecuador,78.08,80.65,75.51
70,Egypt,70.81,73.22,68.48
71,El Salvador,73.38,77.55,68.88
72,Equatorial Guinea,61.97,64.02,60.23
73,Eritrea,67.32,69.4,65.17
74,Estonia,79.31,83.11,75.2
75,Eswatini,57.71,61.86,53.98
76,Ethiopia,66.65,69.75,63.73
79,Fiji,68.45,70.41,66.58
80,Finland,82.52,85,80.01
81,France,83.35,86.08,80.5
82,French Guiana,77.63,80.48,74.94
83,French Polynesia,83.7,86.1,81.49
85,Gabon,66.17,68.76,63.87
86,Gambia,64.12,65.63,62.62
87,Georgia,72.43,77.24,67.56
88,Germany,82.18,84.44,79.9
89,Ghana,64.53,66.72,62.37
91,Greece,82,84.44,79.58
93,Grenada,75.49,78.45,72.74
94,Guadeloupe,83.34,86.43,79.68
95,Guam,78.52,82.2,75.06
96,Guatemala,70.15,73.09,67.26
98,Guinea,59.55,60.83,58.18
99,Guinea-Bissau,60.56,62.62,58.38
100,Guyana,69.8,73.33,66.36
101,Haiti,64.75,67.82,61.81
104,Honduras,73.47,76.02,71.03
105,Hungary,77.09,80.27,73.76
106,Iceland,82.96,84.41,81.55
107,India,72.03,73.65,70.52
108,Indonesia,71.1,73.27,68.96
109,Iran (Islamic Republic Of),76.97,79.84,74.28
110,Iraq,72.05,74.03,69.92
111,Ireland,82.88,84.54,81.21
113,Israel,83.39,85.1,81.59
114,Italy,84.2,86.13,82.15
115,Jamaica,72.37,74.6,70.14
116,Japan,84.95,87.97,81.91
118,Jordan,75.02,77.46,72.91
119,Kazakhstan,70.36,73.9,66.58
120,Kenya,63.34,65.83,60.95
121,Kiribati,67.83,69.59,65.88
122,Kuwait,80.45,82.91,79.09
123,Kyrgyzstan,71.16,75.5,66.88
124,Lao People'S Democratic Republic,69.27,71.46,67.19
125,Latvia,76.06,80.2,71.66
126,Lebanon,76.07,78.09,73.97
127,Lesotho,54.91,57.82,52.12
128,Liberia,62.04,63.34,60.73
129,Libya,73.25,76.54,70.23
131,Lithuania,76.85,81.16,72.35
132,Luxembourg,82.75,84.89,80.64
133,Madagascar,66.43,68.84,64.14
134,Malawi,63.67,67.15,60.24
135,Malaysia,76.42,78.96,74.11
136,Maldives,81.07,82.06,80.3
137,Mali,60.03,61.41,58.7
138,Malta,83.85,85.83,81.81
140,Martinique,83.45,86.09,80.44
141,Mauritania,65.48,67.33,63.64
142,Mauritius,75.69,78.73,72.77
143,Mayotte,78.01,81.46,74.73
144,Mexico,75.04,78.36,71.76
145,Micronesia (Federated States Of),72.91,75.97,70
181,Republic Of Moldova,69.51,74.21,65.05
147,Mongolia,72.94,77.62,68.36
148,Montenegro,77.78,80.82,74.61
150,Morocco,75.2,77.41,73.11
151,Mozambique,62.37,65.15,59.48
152,Myanmar,67.46,70.69,64.38
153,Namibia,59.53,63.13,55.98
155,Nepal,70.78,72.68,68.87
156,Netherlands,82.58,84.02,81.1
157,New Caledonia,81.18,84.74,77.76
158,New Zealand,83.16,84.84,81.43
159,Nicaragua,74.8,77.74,71.8
160,Niger,62.93,64.26,61.65
161,Nigeria,53.87,54.24,53.51
63,Democratic People'S Republic Of Korea,73.71,76.3,71.1
164,North Macedonia,75.26,77.47,73.1
166,Norway,83.55,85.17,81.91
167,Oman,78.97,80.77,77.45
168,Pakistan,67.34,69.74,65.08
170,Panama,78.56,81.59,75.62
171,Papua New Guinea,66.12,69.34,63.51
172,Paraguay,74.1,76.96,71.37
173,Peru,76.96,79.26,74.69
174,Philippines,72.3,74.32,70.3
176,Poland,78.6,82.26,74.89
177,Portugal,82.42,85.06,79.53
178,Puerto Rico,79.94,84.04,75.83
179,Qatar,81.73,83.25,80.81
180,Republic Of Korea,84.14,87.23,80.83
182,Réunion,82.78,85.52,79.95
183,Romania,75.14,78.6,71.73
184,Russian Federation,74.57,79.29,69.52
185,Rwanda,67.35,69.49,65.02
189,Saint Lucia,74.12,77.68,70.74
193,Samoa,72.75,75.5,70.29
195,Sao Tome And Principe,68.89,72.04,66.13
197,Saudi Arabia,78.1,79.73,76.87
198,Senegal,69.31,71.75,66.71
199,Serbia,75.21,78.02,72.3
200,Seychelles,75,79.36,71.31
201,Sierra Leone,60.79,62.11,59.46
202,Singapore,84.27,86.42,82.13
204,Slovakia,78.36,81.59,75.04
205,Slovenia,82.31,84.75,79.86
206,Solomon Islands,70.86,72.51,69.38
207,Somalia,57.35,59.47,55.32
208,South Africa,62.89,65.69,59.85
210,South Sudan,56.51,57.97,54.99
211,Spain,84.05,86.68,81.35
212,Sri Lanka,76.8,80.39,73.06
192,Saint Vincent And The Grenadines,70.28,73.08,67.92
213,State of Palestine,74.28,76.67,71.91
214,Sudan,66.1,68.7,63.57
215,Suriname,72.79,76.25,69.42
217,Sweden,83.65,85.22,82.08
218,Switzerland,84.38,86.05,82.63
219,Syrian Arab Republic,72.45,76.27,68.82
47.1,Taiwan,81.47,84.68,78.36
220,Tajikistan,71.43,73.69,69.3
251,Tanzania,67.6,69.8,65.46
221,Thailand,79.91,84.08,75.75
222,Timor-Leste,69.31,71.1,67.67
223,Togo,61.82,62.49,61.14
225,Tonga,71.41,74.29,68.69
226,Trinidad and Tobago,74.87,78.31,71.48
227,Tunisia,76.94,80.18,73.86
228,Turkey,78.68,81.67,75.62
229,Turkmenistan,69.54,73.07,66.04
239,United States Virgin Islands,76,81.69,70.72
232,Uganda,63.84,65.93,61.68
233,Ukraine,73.02,78.08,67.74
234,United Arab Emirates,80.46,82.57,79.02
235,United Kingdom Of Great Britain And Northern Ireland,82.31,83.97,80.61
238,United States Of America,79.74,82.23,77.27
240,Uruguay,78.16,81.82,74.34
241,Uzbekistan,71.78,74.43,69.12
242,Vanuatu,70.69,73.28,68.48
243,Venezuela (Bolivarian Republic Of),72.89,77.25,68.76
244,Viet Nam,74.74,79.42,70.12
246,Western Sahara,71.19,73.34,69.51
247,Yemen,64.52,68.08,61.23
248,Zambia,62.96,65.67,60.19
249,Zimbabwe,61.92,64.32,59.18